,loss,accuracy,val_loss,val_accuracy
0,1.3552,0.6314,43.7093,0.5479
1,0.4867,0.7702,1.6574,0.7991
2,0.4543,0.7929,1.744,0.6484
3,0.463,0.7941,1.0724,0.7352
4,0.4109,0.8271,1.9119,0.653
5,0.374,0.8464,0.8975,0.8174
6,0.3937,0.8316,0.5936,0.8265
7,0.3742,0.8316,0.7337,0.7489
8,0.3828,0.8305,0.7656,0.7854
9,0.3627,0.8453,0.4019,0.8676
10,0.311,0.8555,0.7571,0.7169
11,0.312,0.868,0.589,0.7671
12,0.31,0.8669,0.344,0.8493
13,0.3826,0.8385,0.3109,0.8721
14,0.3237,0.8692,0.5821,0.7169
15,0.2891,0.8828,0.4213,0.8174
16,0.3125,0.868,0.9706,0.7489
17,0.2883,0.8908,0.4331,0.8402
18,0.3233,0.8589,0.521,0.758
19,0.2643,0.8976,0.6249,0.7671
20,0.2781,0.8896,0.3678,0.9041
21,0.2833,0.884,0.8393,0.8128
22,0.2566,0.8965,0.4268,0.7945
23,0.2433,0.9078,0.6928,0.7215
24,0.2495,0.8965,0.42,0.8082
25,0.2458,0.8953,0.5575,0.7991
26,0.2574,0.884,0.4699,0.8447
27,0.2252,0.9135,0.3815,0.8721
28,0.2481,0.9044,0.4254,0.8447
29,0.2009,0.9147,0.3458,0.8858
30,0.2257,0.9067,0.4444,0.8037
31,0.2303,0.9067,0.8069,0.7717
32,0.242,0.8999,0.4913,0.8128
33,0.2172,0.9124,0.3744,0.8311
34,0.2443,0.8965,0.6052,0.7808
35,0.1908,0.9226,0.6371,0.8128
36,0.2042,0.9192,0.6161,0.8265
37,0.1841,0.917,0.6433,0.79
38,0.2089,0.9181,0.989,0.7123
39,0.2255,0.8965,0.5104,0.8128
40,0.1655,0.9317,0.3856,0.8539
41,0.15,0.942,1.1483,0.758
42,0.1771,0.9249,0.8526,0.726
43,0.1522,0.9408,0.556,0.8493
44,0.1467,0.9477,0.4798,0.8037
45,0.1506,0.9374,0.6868,0.8311
46,0.2046,0.9113,0.3379,0.8813
47,0.1217,0.9534,0.5697,0.8219
48,0.227,0.9124,0.6799,0.7808
49,0.1537,0.934,1.0114,0.7717
